Branch,CandidateCount,PromotedCandidateCount,BestResearchExperimentID,BestBaselinePolicy,BestBaselineReturn,BestBaselineTurnover,BestBaselineTrades,PositiveTickers,ZeroTickers,NegativeTickers,TopPositiveShare,BenchmarkPolicy,BenchmarkReturn,Decision
E211_Incumbent,4,2,E209,SIGNAL_E211_BANDED_68,0.0001012555869542,0.7253086414654063,1.2222222222222223,0,13,0,0.0,SIGNAL_E211_BANDED_68,0.0,baseline_promoted
AblationGrid,9,4,E610,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
E302_Broader,12,2,E302,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
GeneralizationNext,4,2,E401,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
GeneralizationWave2,4,1,E415,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
CrossSectional60m,8,3,E504,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
Native15mExecution,4,4,E1501,SIGNAL_E1502_BANDED_66,-0.000173024165662,0.2102272669150549,0.6049382716049383,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
Native15mFailedBreakout,4,4,E1602,SIGNAL_E1601_BANDED_70,-5.820192894889364e-05,0.0370370370061728,0.0493827160493827,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
Native15mOpenDrive,4,4,E1702,SIGNAL_E1701_BANDED_70,-0.0006190150485907,0.6599287240967253,4.308641975308642,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
OpeningAuctionGapLiquidity,0,0,,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,not_run
Native15mSessionPhase,4,4,E1803,SIGNAL_E1802_BANDED_70,-0.0001341339035688,0.2159996381368785,1.2592592592592593,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
Native15mHoldingHorizon,4,4,E1903,SIGNAL_E1902_BANDED_70,-0.0016108139104049,0.7235889474023819,3.382716049382716,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
Native15mTopKEventRank,4,3,E2003,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
Native15mMeanReversionExhaustion,2,2,E2104,SIGNAL_E2104_LONGONLY,0.0006684475304197,0.1552358573075147,6.246913580246914,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,baseline_promoted
SixtyMinuteDailyContext,4,1,E2201,SIGNAL_E2201_BANDED_70,-0.0018261473995522,0.6037986701253815,1.6296296296296295,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
CrossSectionalCommonalityResidual,4,1,E2501,SIGNAL_E2501_BANDED_66,1.0075225258618678e-05,0.0555555555432098,0.2222222222222222,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,baseline_promoted
IntradayVolumeLiquidityForecast,1,1,E2601,SIGNAL_E2601_BANDED_70,-0.0007258334009476,0.96355973841595,2.2222222222222223,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,benchmark_only
EventOutcomeAccounting,1,0,E2805,,,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.0,research_only
